query	wall_ms	cpu_ms	scan_ms	join_ms	filter_ms	aggregate_ms	other_ms	rows_scanned	join_rows	prf_filters
8c	472.5	2166.5	401.9	1721.2	4.0	38.4	0.9	12381303	12557947	4
8d	227.5	737.6	337.6	389.2	0.4	9.9	0.5	10122671	2693889	5
9a	236.7	818.4	608.4	157.0	52.7	0.1	0.2	16506955	817597	5
9b	167.6	640.5	541.8	76.6	22.1	0.0	0.0	14761854	359019	5
9c	245.5	992.8	557.6	313.0	120.8	1.0	0.3	18014299	2062958	6
9d	334.9	1245.4	521.8	586.8	118.2	17.8	0.9	18014299	3509454	6
10a	83.3	360.9	342.1	12.3	6.4	0.1	0.0	20114088	13769	4
10b	66.8	300.0	289.3	8.9	1.7	0.0	0.0	18138174	10049	3
10c	282.5	1236.4	690.0	533.0	13.3	0.0	0.0	41616796	3910516	3
11a	41.2	40.0	37.9	1.8	0.2	0.0	0.0	1158536	2651	4
11b	31.3	29.5	28.1	1.3	0.1	0.0	0.0	1158536	122	2
11c	66.2	71.1	47.7	19.5	3.5	0.3	0.1	1158535	151115	4
11d	110.2	113.9	46.2	64.7	2.2	0.8	0.1	1158535	445106	4
12a	92.7	365.2	269.8	85.7	9.5	0.2	0.1	7596823	38648	3
12b	122.4	517.5	292.3	218.7	6.2	0.0	0.3	6110940	1158092	3
12c	112.9	441.8	293.4	131.5	16.4	0.5	0.1	7596823	336426	3
13a	93.1	313.3	254.3	49.1	0.1	9.6	0.2	7951129	460750	4
13b	130.1	501.3	207.7	292.4	1.0	0.1	0.0	8860101	1155735	3
13c	137.3	479.1	192.2	286.4	0.4	0.0	0.1	7689934	1154144	3
13d	190.6	479.6	184.6	269.4	0.1	25.2	0.3	7951129	3117130	4
14a	135.7	359.9	149.9	205.7	4.2	0.0	0.1	8728462	603141	3
14b	78.9	244.6	216.9	27.4	0.2	0.0	0.0	6432552	259870	4
14c	152.0	442.0	281.8	149.1	10.3	0.6	0.2	10459037	885550	5
15a	278.6	1109.5	1043.3	63.1	3.0	0.0	0.0	12708754	58448	6
15b	298.6	1122.1	1117.4	3.5	1.2	0.0	0.0	14765729	391	5
15c	761.8	2928.1	1861.7	1049.5	16.5	0.2	0.2	13603465	2005486	4
15d	859.5	3085.6	1214.1	1844.6	26.7	0.2	0.0	13868067	2025411	4
16a	129.9	537.4	510.8	24.7	1.8	0.1	0.0	48142849	43156	5
16b	760.0	3562.8	828.3	2626.8	41.0	65.1	1.7	51299921	14223037	3
16c	224.1	888.7	687.2	153.9	30.8	16.4	0.4	48982822	930181	5
16d	196.9	774.2	626.2	116.5	26.5	4.7	0.3	48982822	730833	5
17a	355.6	1744.2	795.4	945.2	1.3	2.1	0.2	47139524	3607839	3
17b	473.0	2378.3	921.9	1455.6	0.3	0.5	0.1	49143462	8240480	4
17c	480.2	2338.6	877.5	1460.8	0.2	0.1	0.1	49138124	8139704	4
17d	575.0	2911.5	1045.9	1861.3	3.8	0.4	0.1	50398578	8158944	4
17e	372.4	1857.4	849.4	965.2	0.0	42.0	0.8	50398578	5992132	4
17f	629.9	3173.0	1091.5	2064.8	6.2	10.1	0.5	50398578	10362108	4
18a	261.6	1103.7	837.1	156.1	110.0	0.3	0.3	42436878	658946	4
18b	149.9	681.3	622.9	48.6	9.7	0.0	0.1	43096632	29125	4
18c	254.9	1040.0	729.6	275.3	31.4	2.1	1.5	44044321	4363261	4
19a	310.6	1124.5	888.6	169.5	66.3	0.0	0.1	20028141	1014410	6
19b	201.5	713.0	653.5	44.5	15.0	0.0	0.0	25138517	338611	4
19c	442.4	1551.2	888.0	553.7	109.1	0.2	0.2	21534244	2957044	6
19d	417.0	1531.0	494.3	928.9	83.2	23.9	0.8	21766430	7963679	6
20a	302.2	1310.0	942.9	364.1	2.9	0.0	0.1	44975626	815541	6
20b	251.6	1105.6	898.0	205.2	2.2	0.0	0.1	45433128	381040	6
20c	275.6	1297.3	1023.0	271.5	2.1	0.7	0.1	47658409	358718	6
21a	85.8	119.4	110.1	8.6	0.6	0.1	0.1	5100518	4187	5
21b	67.8	104.1	100.9	2.5	0.6	0.1	0.0	5100518	2161	5
21c	73.1	93.7	87.5	5.8	0.3	0.1	0.0	5100518	4899	5
22a	184.4	465.6	328.6	115.6	21.2	0.1	0.0	13170289	766872	6
22b	157.9	404.9	324.7	66.8	13.5	0.0	0.0	12491650	400149	7
22c	391.8	1138.1	379.2	747.5	10.9	0.3	0.1	13303164	3567050	5
22d	796.1	1998.2	366.5	1613.6	16.9	0.9	0.3	13303167	6795007	5
23a	213.4	646.7	376.9	267.5	2.3	0.0	0.0	10288396	1481132	5
23b	197.7	462.0	449.0	6.1	6.8	0.0	0.0	10363502	2541	5
23c	205.0	683.6	410.2	270.7	2.7	0.0	0.0	11527451	1567202	6
24a	338.4	1348.2	906.2	403.0	39.1	0.0	0.0	23869051	1585887	8
24b	121.8	467.6	458.9	4.9	3.7	0.0	0.1	45892143	790	7
25a	292.0	1168.6	936.3	222.9	8.5	0.8	0.1	47832006	830318	5
25b	161.5	634.6	609.1	18.4	7.0	0.0	0.1	45220162	30731	6
25c	314.9	1257.1	917.3	317.3	19.2	2.9	0.5	48702421	2967071	6
26a	296.3	1339.7	1174.2	162.2	3.0	0.2	0.1	49005593	452496	7
26b	164.7	720.3	693.9	23.8	2.4	0.1	0.0	48546424	29534	8
26c	425.1	1453.6	1155.3	293.3	4.5	0.3	0.1	49026351	1281739	6
27a	54.7	75.1	71.1	3.0	0.9	0.1	0.0	5211036	2529	6
27b	77.9	109.0	105.5	2.6	0.7	0.1	0.1	5211036	1327	6
27c	81.7	157.9	150.5	6.9	0.4	0.1	0.1	5211036	2797	6
28a	448.6	1447.2	1170.1	264.6	12.2	0.2	0.1	25197899	1578504	5
28b	249.5	1048.7	925.9	86.1	36.6	0.0	0.0	24155250	318800	7
28c	402.9	1453.6	1077.0	357.2	19.1	0.3	0.1	25105981	1982012	6
29a	220.8	934.5	910.0	11.5	12.8	0.1	0.0	63187958	9720	2
29b	179.1	728.2	720.3	4.4	3.4	0.0	0.1	61295723	3277	2
29c	280.5	1182.5	1102.0	61.8	18.0	0.7	0.0	65295870	120368	10
30a	230.8	802.5	654.3	136.4	11.6	0.2	0.1	48550880	824884	5
30b	202.8	704.6	627.5	76.5	0.4	0.0	0.1	44810867	556338	6
30c	321.7	1056.0	759.5	290.8	4.4	1.1	0.1	48825309	1684260	5
31a	264.8	851.6	668.3	167.6	15.4	0.2	0.1	49898263	930040	7
31b	179.6	548.2	486.1	61.7	0.3	0.0	0.1	46583004	470551	8
31c	301.8	883.2	650.3	222.7	6.6	0.3	3.3	51777551	2237972	7
32a	17.6	19.5	19.3	0.2	0.0	0.0	0.0	150571	0	0
32b	59.0	195.9	185.1	10.4	0.0	0.3	0.1	3091054	19785	3
33a	42.2	73.1	67.3	4.6	1.0	0.1	0.1	4945848	2278	7
33b	76.7	245.7	210.9	31.2	3.5	0.1	0.0	4344986	1515	6
33c	65.4	118.9	109.7	7.2	1.7	0.2	0.1	5738334	3545	9
