query	cold_ms	hot_median_ms	hot_iqr_ms	samples_ms	answer
7a	865.5	160.6	31.9	865,199,160,172,161,146	Antonioni, Michelangelo|Dressed to Kill
7b	480.6	83.4	11.1	481,92,82,84,71,83	De Palma, Brian|Dressed to Kill
7c	3399.0	1807.6	206.8	3399,1972,1935,1705,1788,1808	50 Cent|"Boo" Arnold was born Earl Arnold in Hattiesburg, Mississippi in 1966. His father gave him the nickname 'Boo' early in life and it stuck through grade school, high school, and college. He is still known as "Boo" to family and friends.  Raised in central Texas, Arnold played baseball at Texas Tech University where he graduated with a BA in Advertising and Marketing. While at Texas Tech he was also a member of the Texas Epsilon chapter of Phi Delta Theta fraternity. After college he worked with Young Life, an outreach to high school students, in San Antonio, Texas.  While with Young Life Arnold began taking extension courses through Fuller Theological Seminary and ultimately went full-time to Gordon-Conwell Theological Seminary in Boston, Massachusetts. At Gordon-Conwell he completed a Master's Degree in Divinity studying Theology, Philosophy, Church History, Biblical Languages (Hebrew & Greek), and Exegetical Methods. Following seminary he was involved with reconciliation efforts in the former Yugoslavia shortly after the war ended there in1995.  Arnold started acting in his early thirties in Texas. After an encouraging visit to Los Angeles where he spent time with childhood friend George Eads (of CSI Las Vegas) he decided to move to Los Angeles in 2001 to pursue acting full-time. While in Los Angeles he has studied acting with Judith Weston at Judith Weston Studio for Actors and Directors.  Arnold's acting career has been one of steady development, booking co-star and guest-star roles in nighttime television. He guest-starred opposite of Jane Seymour on the night time television drama Justice. He played the lead, Michael Hollister, in the film The Seer, written and directed by Patrick Masset (Friday Night Lights).  He was nominated Best Actor in the168 Film Festival for the role of Phil Stevens in the short-film Useless. In Useless he played a US Marshal who must choose between mercy and justice as he confronts the man who murdered his father. Arnold's performance in Useless confirmed his ability to carry lead roles, and he continues to work toward solidifying himself as a male lead in film and television.  Arnold married fellow Texan Stacy Rudd of San Antonio in 2003 and they are now raising their three children in the Los Angeles area.
8a	1005.3	415.9	143.4	1005,486,364,380,416,544	Chambers, Linda|.hack//Quantum
8b	686.7	141.1	28.6	687,162,130,142,117,141	Chambers, Linda|Dragon Ball Z: Shin Budokai
8c	2263.0	1666.1	152.0	2263,1760,1652,1734,1666,1537	"A.J."|#1 Cheerleader Camp
8d	1829.1	1255.1	34.4	1829,1217,1249,1274,1255,1260	"Jenny from the Block"|#1 Cheerleader Camp
9a	1939.9	1022.3	318.6	1940,1261,1022,1031,821,833	AJ|Airport Announcer|Blue Harvest
9b	1582.2	627.1	69.7	1582,717,633,627,598,613	AJ|Airport Announcer|Bassett, Angela|Blue Harvest
9c	1173.0	424.9	91.2	1173,520,455,425,393,400	'Annette'|2nd Balladeer|Alborg, Ana Esther|(1975-01-20)
9d	2064.9	938.4	94.2	2065,1069,941,897,925,938	!!!, Toy|"Cockamamie's" Salesgirl|Aaron, Caroline|$15,000.00 Error
10a	715.1	153.1	61.0	715,249,160,153,142,145	Actor|12 Rounds
10b	522.2	155.1	26.5	522,172,147,133,155,161	NULL|NULL
10c	1893.9	1002.9	195.1	1894,1247,1053,1003,944,966	Himself|Evil Eyes: Behind the Scenes
11a	243.5	50.5	3.2	243,51,46,52,50,50	Churchill Films|followed by|Batman Beyond
11b	512.4	74.1	22.4	512,107,75,67,71,74	Filmlance International AB|follows|The Money Man
11c	334.2	80.7	12.3	334,82,85,81,73,70	20th Century Fox Home Entertainment|(1997-2002) (worldwide) (all media)|24
11d	746.5	486.5	63.7	746,486,503,454,523,445	13th Street|(1954) (UK) (TV)|...denn sie wissen nicht, was sie tun
12a	476.0	158.4	13.0	476,171,158,156,158,170	10th Grade Reunion Films|8.1|3:20
12b	312.4	24.8	6.9	312,30,30,22,25,24	$10,000|Birdemic: Shock and Terror
12c	524.7	231.5	50.8	525,274,209,214,231,251	"Oh That Gus!"|7.1|$1.11
13a	585.1	303.3	74.8	585,282,348,381,303,297	Afghanistan:24 June 2012|1.0|&Me
13b	692.3	158.8	32.2	692,202,151,159,153,167	501audio|1.8|5 Time Champion
13c	713.9	132.9	24.0	714,176,133,132,129,133	DL Sites|1.8|Champion
13d	977.4	643.1	108.2	977,640,671,731,546,643	"O" Films|1.0|#54 Meets #47
14a	1158.0	295.3	34.2	1158,312,295,276,281,314	1.0|$lowdown
14b	1171.6	251.2	42.7	1172,236,251,278,225,269	6.4|Of Dolls and Murder
14c	1277.6	463.2	87.7	1278,441,548,463,410,478	1.0|$lowdown
15a	2147.7	580.9	176.2	2148,647,683,581,515,462	USA:1 June 2007|Battlestar Galactica: The Resistance
15b	2151.5	604.1	59.6	2152,604,562,561,628,614	USA:27 April 2007|RoboCop vs Terminator
15c	2359.5	550.0	45.5	2359,572,550,526,565,520	USA:1 April 2003|24: Day Six - Debrief
15d	821.9	137.8	36.0	822,191,129,130,140,138	(Not So) Instant Photo|06/05
16a	1369.3	915.9	143.9	1369,992,784,925,845,916	Adams, Stan|Carol Burnett vs. Anthony Perkins
16b	3010.9	1823.4	405.4	3011,2158,1716,1906,1537,1823	!!!, Toy|& Teller
16c	1549.6	1110.7	234.2	1550,909,1111,965,1168,1174	"Brooklyn" Tony Danza|(#1.5)
16d	2080.7	975.6	230.9	2081,1084,1096,976,940,778	"Brooklyn" Tony Danza|(#1.5)
17a	2108.2	1265.2	196.4	2108,1425,1371,1265,1225,1178	B, Khaz|B, Khaz
17b	1712.5	1092.1	177.0	1713,1092,1116,1116,915,963	Z'Dar, Robert|Z'Dar, Robert
17c	1786.2	1044.3	218.8	1786,1317,1139,1002,1044,1017	X'Volaitis, John|X'Volaitis, John
17d	1924.5	1155.4	185.1	1924,1155,1376,1139,1158,1025	Abrahamsson, Bertil
17e	2830.7	2251.3	887.5	2831,2177,2558,2251,1716,3110	$hort, Too
17f	2821.6	1874.2	747.6	2822,2708,1983,1562,1874,1633	'El Galgo PornoStar', Blanquito
18a	1640.7	981.3	218.6	1641,1207,844,981,963,1037	$1,000|10|40 Days and 40 Nights
18b	1202.4	422.5	118.2	1202,554,381,403,467,422	Horror|8.1|Agorable
18c	1531.4	1091.7	524.4	1531,1602,1092,1230,975,809	Action|10|#PostModem
19a	4555.9	1305.7	335.2	4556,1675,1346,1306,1166,1184	Angeline, Moriah|Blue Harvest
19b	1825.3	559.4	134.1	1825,771,559,514,570,559	Jolie, Angelina|Kung Fu Panda
19c	3966.5	2185.2	290.7	3966,2235,2419,2185,2075,1997	Alborg, Ana Esther|.hack//Akusei heni vol. 2
19d	2395.1	1255.4	148.4	2395,1369,1230,1255,1166,1324	Aaron, Caroline|$9.99
20a	1887.3	767.8	67.1	1887,768,727,779,773,691	Disaster Movie
20b	1604.2	961.0	188.9	1604,1023,981,819,961,807	Iron Man
20c	2134.2	715.7	214.6	2134,842,716,679,470,736	Abell, Alistair|...And Then I...
21a	1103.3	194.9	27.9	1103,195,189,225,215,195	Det Danske Filminstitut|followed by|Der Serienkiller - Klinge des Todes
21b	844.2	207.7	96.1	844,208,296,216,165,155	Filmlance International AB|followed by|Hämndens pris
21c	1084.5	199.5	25.9	1084,200,186,199,215,177	Churchill Films|followed by|Batman Beyond
22a	2620.9	1105.9	334.0	2621,896,1263,1106,964,1265	01 Distribution|2.1|12 Rounds
22b	3520.6	704.0	400.7	3521,704,914,904,513,502	Boll Kino Beteiligungs GmbH & Co. KG|3.0|A Small Act
22c	2420.9	1342.3	644.2	2421,1342,1090,1785,1532,939	01 Distribution|1.9|(#1.1)
22d	3560.5	2302.4	545.6	3560,2589,2476,2221,2302,1753	01 Distribution|1.6|(#1.1)
23a	1780.4	307.1	88.1	1780,358,401,305,307,277	movie|The Analysts
23b	1220.1	592.3	347.7	1220,270,395,592,696,664	movie|The Big Mope
23c	2247.3	646.5	189.2	2247,644,557,647,858,721	movie|Dirt Merchant
24a	7001.5	1912.9	378.6	7001,2386,1912,1913,1971,1688	Additional Voices|Baker, Andrea|Baiohazâdo 6
24b	1903.3	508.8	230.6	1903,750,515,509,477,327	Tigress|Jolie, Angelina|Kung Fu Panda 2
25a	900.2	478.5	93.5	900,584,478,491,461,427	Horror|10|Abdallah, Damon|-- And Now the Screaming Starts!
25b	698.1	197.4	68.1	698,300,221,193,192,197	Horror|138|Campbell, Jeremiah|Vampire Boys
25c	1151.6	1118.6	299.6	1152,1119,1090,1313,1328,952	Action|10|Aakeson, Kim Fupz|$
26a	1676.2	728.3	160.5	1676,988,742,711,728,699	'Agua' Man|7.1|Acereda, Hermie|3:10 to Yuma
26b	1138.8	415.7	84.6	1139,528,444,398,405,416	Bank Manager|8.2|Inception
26c	2275.5	1059.7	324.7	2276,1346,1012,1060,863,1179	'Agua' Man|1.9|12 Rounds
27a	1567.2	194.9	67.7	1567,208,268,195,180,161	Det Danske Filminstitut|followed by|Spår i mörker
27b	1028.8	186.8	78.1	1029,226,149,131,211,187	Filmlance International AB|followed by|Vita nätter
27c	1017.7	203.3	48.5	1018,219,197,203,277,202	Det Danske Filminstitut|followed by|Spår i mörker
28a	1989.1	749.7	58.6	1989,805,750,692,747,752	01 Distribuzione|2.9|(#1.1)
28b	1065.5	363.4	82.2	1065,320,392,371,363,279	20th Century Fox|6.6|(#1.1)
28c	1762.2	878.9	90.5	1762,917,822,812,898,879	01 Distribuzione|1.9|(#1.1)
29a	1771.9	389.8	131.1	1772,496,390,462,352,343	Queen|Andrews, Julie|Shrek 2
29b	1578.0	384.8	82.8	1578,346,435,356,432,385	Queen|Andrews, Julie|Shrek 2
29c	4751.8	2389.0	1183.7	4752,3522,3202,2389,2376,1981	Lola|Andrews, Julie|Hoodwinked!
30a	1956.4	631.9	581.0	1956,1213,908,632,510,449	Horror|100356|Abrams, J.J.|16 Blocks
30b	1110.7	241.5	71.5	1111,352,244,242,223,230	Horror|194782|Shannon, Damian|Freddy vs. Jason
30c	990.4	507.7	58.5	990,560,555,505,508,493	Action|100356|Abernathy, Lewis|$
31a	979.1	439.6	73.3	979,520,442,427,388,440	Horror|1040|Agnew, Jim|2001 Maniacs
31b	992.2	288.4	64.6	992,305,248,236,309,288	Horror|129755|Bousman, Darren Lynn|Saw
31c	1164.5	517.7	110.3	1165,587,501,480,518,615	Action|1008|Abraham, Brad|11:14
32a	38.0	6.2	1.6	38,5,7,6,7,6	NULL|NULL|NULL
32b	179.0	34.7	16.0	179,46,33,32,35,51	alternate language version of|12 oz. Mouse|'Angel': Season 2 Overview
33a	258.0	35.0	8.2	258,39,45,35,35,34	495 Productions|495 Productions|3.3|2.7|A Double Shot at Love|A Shot at Love with Tila Tequila
33b	202.0	28.7	4.3	202,30,29,29,25,32	MTV Netherlands|495 Productions|3.3|2.7|A Double Shot at Love|A Shot at Love with Tila Tequila
33c	269.1	65.4	16.6	269,55,68,65,69,49	2BE|495 Productions|1.3|1.0|A Double Shot at Love|A Double Shot at Love
