
### harness wall, median of the 3 hot tries

| query | duckdb | rudb | best rival | rudb / best rival |
| q20 | 22.0 ms | 8.7 ms | duckdb | 0.39x |
| q21 | 29.0 ms | 33.4 ms | duckdb | 1.15x |
| q22 | 22.0 ms | 5.9 ms | duckdb | 0.27x |
| total | 560.0 ms | 237.9 ms | | |

rudb / best rival: geomean 0.39x, best 0.19x, worst 1.15x, at or under 0.1x on 0 of 22, under 1x on 21

### cold, and load at start / max during each query

| query | duckdb cold | rudb cold | duckdb load | rudb load |
| --- | ---: | ---: | ---: | ---: |
| q01 | 124.5 ms | 63.4 ms | 0.37/0.37 | 0.37/0.37 |
| q02 | 103.1 ms | 42.9 ms | 0.37/0.37 | 0.37/0.37 |
| q03 | 123.6 ms | 83.6 ms | 0.37/0.37 | 0.37/0.37 |
| q04 | 62.9 ms | 63.2 ms | 0.37/0.37 | 0.37/0.37 |
| q05 | 103.1 ms | 82.8 ms | 0.37/0.37 | 0.37/0.37 |
| q06 | 103.1 ms | 42.7 ms | 0.37/0.37 | 0.37/0.37 |
| q07 | 83.0 ms | 83.7 ms | 0.37/0.37 | 0.37/0.37 |
| q08 | 123.1 ms | 83.3 ms | 0.37/0.37 | 0.37/0.37 |
| q09 | 143.1 ms | 103.0 ms | 0.37/0.37 | 0.37/0.37 |
| q10 | 143.3 ms | 82.8 ms | 0.37/0.37 | 0.37/0.37 |
| q11 | 102.9 ms | 42.8 ms | 0.37/0.37 | 0.37/0.37 |
| q12 | 102.9 ms | 83.1 ms | 0.37/0.37 | 0.37/0.37 |
| q13 | 123.1 ms | 42.9 ms | 0.37/0.37 | 0.37/0.37 |
| q14 | 123.5 ms | 63.0 ms | 0.37/0.37 | 0.37/0.37 |
| q15 | 102.9 ms | 63.2 ms | 0.37/0.37 | 0.37/0.37 |
| q16 | 124.0 ms | 64.1 ms | 0.37/0.37 | 0.37/0.37 |
| q17 | 103.2 ms | 62.8 ms | 0.37/0.37 | 0.37/0.37 |
| q18 | 123.2 ms | 62.8 ms | 0.37/0.37 | 0.37/0.37 |
| q19 | 123.2 ms | 62.7 ms | 0.37/0.37 | 0.37/0.37 |
| q20 | 123.7 ms | 84.7 ms | 0.37/0.37 | 0.37/0.37 |
| q21 | 122.9 ms | 104.3 ms | 0.37/0.37 | 0.37/0.37 |
| q22 | 103.1 ms | 42.9 ms | 0.37/0.37 | 0.37/0.37 |
duckdb: 22 queries, cold total 2.5s, load at start median 0.37 max 0.37, max during 0.37
rudb: 22 queries, cold total 1.5s, load at start median 0.37 max 0.37, max during 0.37
