113 queries, 5 processes of 1 cold and 3 warm statements, threads=1, settings none, gate below a load of 6, times in us
query	cold_parse	cold_bind	cold_rewrite	cold_optimizer	cold_physical	cold_execute	cold_frontend	cold_fastest	warm_parse	warm_bind	warm_rewrite	warm_optimizer	warm_physical	warm_execute	warm_frontend	warm_fastest	load
8a	381.8	443.5	247.6	49.5	642.2	1244684.2	1094.2	1053.4	370.0	257.5	152.7	27.1	177.2	904222.6	807.1	653.5	1.19
8b	433.8	415.7	282.4	38.9	521.0	1429152.5	1214.9	1018.6	434.0	272.6	179.7	29.3	194.6	1019791.9	928.5	770.6	1.14
8c	283.1	443.7	229.7	36.6	400.5	753599.5	1116.4	865.7	298.4	215.3	122.5	24.7	140.2	621342.0	650.2	605.2	1.09
8d	297.1	417.4	196.6	33.0	441.6	679978.7	947.3	834.5	293.6	215.8	120.7	24.0	125.2	577153.6	655.4	554.7	1.07
9a	475.2	460.7	300.3	40.8	545.2	1914448.3	1343.5	1148.7	442.2	291.8	184.8	31.1	192.3	1445780.1	967.9	785.4	1.06
9b	497.9	519.5	318.9	38.6	615.7	1603788.2	1382.1	1130.8	442.4	300.3	190.6	27.4	207.7	1186114.5	951.7	800.0	1.03
9c	345.9	468.9	252.1	36.3	535.3	1681107.2	1103.3	979.0	399.2	280.3	165.4	26.7	172.2	1301653.4	862.8	758.3	1.02
9d	448.2	455.9	261.4	37.0	504.0	1384875.9	1187.5	1187.3	391.7	272.1	152.6	24.3	145.9	1227462.9	841.2	714.2	1.01
10a	320.0	433.4	237.9	38.1	516.1	1144578.5	1019.9	931.4	331.2	242.7	137.8	26.6	170.8	902955.9	758.7	614.7	1.01
10b	331.4	373.0	230.8	38.6	517.8	689880.0	967.3	897.3	293.2	186.1	130.9	24.1	148.9	609363.8	618.1	560.6	1.08
10c	326.5	306.2	192.6	31.8	490.2	965342.5	815.5	746.8	290.6	190.3	114.7	22.7	141.8	822824.4	622.7	533.7	1.07
11a	462.8	302.6	260.6	40.1	515.6	489437.0	1033.6	969.6	376.2	196.5	171.5	27.8	131.7	447121.2	764.9	678.3	1.28
11b	460.3	339.5	267.9	41.1	524.0	581883.2	1108.8	931.5	435.7	235.0	181.9	30.8	161.7	494537.2	902.1	714.3	1.28
11c	440.8	411.0	280.5	92.8	578.0	579953.4	1245.0	1028.3	449.8	241.0	185.6	68.9	153.6	549706.0	945.7	792.5	1.28
11d	417.2	341.2	259.7	65.1	420.9	530408.2	1055.6	1018.4	385.6	191.0	164.2	57.3	126.4	474704.4	824.0	676.6	1.28
12a	425.6	325.9	255.7	35.1	458.9	2244393.2	1068.4	913.5	415.8	195.3	156.1	24.9	135.8	1545291.3	826.9	678.0	1.24
12b	483.6	360.4	290.4	76.3	539.9	2574449.9	1210.2	1146.0	477.8	237.9	194.7	64.3	169.2	1393265.0	967.4	854.2	1.19
12c	437.1	354.8	274.1	37.3	453.5	2198942.1	1115.2	1015.4	395.6	181.8	162.2	25.9	150.0	1524758.9	776.8	719.1	1.10
13a	396.5	341.1	232.8	36.5	399.5	1930276.7	998.8	883.9	384.4	199.2	154.8	25.3	127.3	1235689.5	746.7	674.3	1.06
13b	422.0	312.0	248.8	32.8	547.0	327901.9	1015.7	974.2	372.4	174.6	151.3	23.4	133.1	222359.9	723.3	684.7	1.04
13c	503.3	391.6	266.9	39.9	552.1	430840.7	1199.5	1156.3	464.4	235.6	187.6	28.0	171.3	266144.9	903.2	739.8	1.03
13d	371.9	367.8	236.1	38.1	436.8	237500.6	1022.0	909.8	374.0	190.7	141.1	22.2	130.4	197024.3	733.1	654.5	1.03
14a	536.0	338.4	361.9	39.1	514.4	2984993.4	1262.5	1164.3	484.3	200.9	192.1	26.9	144.0	2234765.3	912.0	771.2	1.17
14b	552.0	387.1	317.7	39.8	698.8	3290504.4	1256.3	1173.3	539.1	212.0	221.0	29.0	204.6	2406780.1	1009.0	807.8	1.08
14c	523.6	326.1	356.3	121.5	414.5	2913013.0	1298.3	1054.4	474.1	208.4	211.6	98.4	166.2	2260265.4	1037.5	865.6	1.04
15a	481.1	407.7	265.1	39.3	517.3	2382272.4	1202.4	1002.6	463.9	249.1	178.2	26.6	159.8	1696136.3	905.8	737.3	1.17
15b	529.2	531.5	393.6	55.5	711.5	2399606.8	1542.4	1312.9	484.4	300.7	200.0	29.0	200.4	1625349.6	1027.8	794.8	1.15
15c	462.9	383.0	254.1	76.2	485.3	2272589.2	1128.9	1100.6	452.8	264.3	186.3	70.3	170.0	1604712.6	973.6	821.7	1.11
15d	410.4	470.4	277.5	38.6	498.3	444502.0	1215.5	1025.4	422.3	274.2	181.6	29.1	163.8	342234.8	897.7	758.7	1.06
16a	383.0	441.0	227.4	44.5	487.1	477960.4	1096.5	1062.3	365.6	238.5	141.2	25.1	149.3	374749.6	778.8	677.5	1.05
16b	376.1	376.9	210.2	34.6	417.4	743659.5	1041.9	874.5	335.2	251.1	134.3	24.7	140.6	652519.5	757.7	668.2	1.04
16c	345.6	421.7	224.7	33.4	504.2	634540.3	1041.8	946.3	329.6	252.8	140.8	24.4	139.1	548993.9	748.8	673.1	1.03
16d	399.3	414.5	229.4	37.0	478.5	681106.5	1120.6	939.9	379.9	250.5	145.1	24.9	164.6	577192.6	765.7	684.4	1.03
17a	354.0	403.4	223.0	39.1	562.1	973047.7	1011.7	861.6	324.8	239.4	132.3	24.1	134.7	784650.1	712.6	584.9	1.02
17b	327.1	451.7	226.9	42.4	572.9	1040515.5	1070.3	906.5	352.7	273.9	138.8	27.2	184.2	858009.6	787.4	609.5	1.09
17c	337.9	397.1	211.2	37.5	538.0	1044524.0	992.9	925.5	339.4	238.6	123.3	25.1	146.4	847754.4	736.6	601.6	1.07
17d	302.0	356.8	188.6	35.6	498.9	1103800.3	884.1	784.7	302.7	237.6	125.4	24.8	142.7	936445.3	693.4	561.1	1.20
17e	333.7	349.5	217.7	35.6	456.0	997906.6	961.3	783.4	320.3	235.9	131.7	25.8	155.5	858609.5	726.5	566.4	1.53
17f	327.3	377.9	195.9	35.3	558.7	1112122.6	925.6	795.6	332.1	245.0	126.9	26.4	150.9	1061801.6	726.2	584.1	1.57
18a	398.6	365.2	260.7	37.0	583.2	3030063.1	1063.1	868.5	401.0	234.1	156.6	26.8	194.4	2183110.4	806.7	669.5	1.69
18b	486.1	370.5	320.7	44.9	532.2	3223668.0	1217.8	1158.2	485.6	239.0	205.5	33.6	194.7	2272758.4	962.1	771.9	1.57
18c	475.8	361.3	299.7	38.8	511.5	2877080.8	1138.2	1039.6	465.0	237.0	186.8	27.8	179.5	2062694.9	930.6	706.3	1.87
19a	650.3	650.7	385.7	111.2	730.9	4052689.7	1870.5	1265.4	534.9	352.0	239.7	96.2	239.3	3086360.2	1210.1	1001.5	1.62
19b	526.2	499.4	321.2	91.1	641.5	4028091.6	1562.0	1240.5	529.4	386.9	253.5	91.6	259.3	2947961.1	1230.4	1005.2	1.25
19c	579.2	541.5	374.1	106.2	669.6	3977093.3	1615.0	1431.0	543.3	359.4	247.2	85.3	241.0	3114411.1	1233.2	994.3	1.19
19d	512.2	492.7	301.1	37.0	550.0	1109453.2	1334.4	1259.0	466.6	309.9	198.6	26.2	189.6	942391.8	1006.3	909.3	1.15
20a	528.1	437.2	328.6	38.6	631.1	1316694.0	1319.6	1224.4	433.3	280.0	213.9	28.7	183.6	1168291.2	982.9	815.7	1.12
20b	557.5	479.7	332.1	44.3	620.4	1837927.8	1449.6	1307.2	498.5	256.0	231.2	28.1	200.8	1554988.8	990.5	813.7	1.08
20c	481.4	386.1	300.0	93.7	522.0	1498058.3	1221.8	1138.8	459.6	275.7	215.1	71.8	191.5	1389970.7	1038.4	882.9	1.04
21a	599.9	501.6	351.1	51.3	622.7	2703114.6	1487.3	1265.7	551.3	244.3	243.6	31.8	188.4	1970499.3	1070.9	952.1	1.09
21b	577.0	367.0	342.2	42.7	588.9	2860948.4	1316.7	1136.8	494.9	248.0	226.4	30.7	192.6	1857093.9	996.3	839.8	1.06
21c	597.8	419.1	352.0	45.5	637.8	3443130.1	1389.3	1365.8	576.8	262.4	254.4	32.3	206.5	2541226.4	1113.5	883.9	1.03
22a	592.3	452.1	392.6	41.0	580.3	2617304.6	1511.5	1232.3	577.8	276.6	270.5	29.9	214.6	1696156.2	1172.7	927.6	1.12
22b	667.9	421.3	321.2	39.6	585.1	2417547.1	1436.3	1353.4	600.3	276.3	276.9	30.2	206.0	1616532.8	1151.7	984.5	1.11
22c	605.5	424.9	386.3	41.7	555.9	3068515.7	1469.2	1276.1	669.6	292.8	281.3	31.6	214.3	2362611.3	1306.6	969.2	1.05
22d	665.7	427.1	415.4	44.0	524.4	2979381.7	1547.4	1427.7	612.0	280.0	285.6	29.9	178.0	2130037.0	1189.1	988.2	1.02
23a	490.1	396.9	291.8	72.9	537.7	2060604.1	1245.1	1143.7	473.1	246.6	208.5	64.1	162.0	1319331.0	993.4	879.7	1.01
23b	584.9	445.9	349.4	50.3	554.0	2350708.4	1476.9	1134.2	475.0	257.4	242.7	28.2	184.8	1535248.5	1016.9	888.0	1.00
23c	597.9	416.1	338.6	92.7	558.3	2066391.8	1372.1	1139.7	487.2	243.3	217.0	80.0	182.7	1342084.2	1005.1	943.4	1.00
24a	651.2	545.5	382.0	103.2	625.9	4261267.8	1656.5	1508.9	664.4	438.0	316.6	109.5	273.7	3224431.5	1530.9	1135.1	1.12
24b	737.3	572.5	425.0	143.7	678.6	4515337.6	2016.0	1656.2	668.1	387.7	303.7	114.2	260.3	3130794.3	1443.4	1194.1	2.92
25a	597.1	395.0	368.1	39.0	522.2	2680871.8	1401.4	1209.5	532.8	286.9	238.6	28.1	209.0	1888765.7	1124.1	975.3	3.67
25b	612.9	399.0	333.1	41.5	593.8	3012030.7	1387.2	1371.8	589.3	269.8	250.9	29.0	205.7	1970695.7	1136.4	911.9	3.26
25c	569.0	397.9	357.3	36.0	515.2	3447967.9	1461.5	1143.4	554.0	257.8	258.8	30.2	194.7	2353562.7	1073.0	934.5	2.13
26a	694.3	556.3	398.8	110.8	671.8	1842202.3	1743.9	1588.2	671.7	349.6	304.5	104.8	245.3	1471897.2	1443.4	1093.1	1.55
26b	661.2	516.8	385.2	101.7	687.9	1287774.3	1688.2	1459.0	583.5	353.5	267.1	92.4	256.0	1196415.0	1309.8	1000.6	1.31
26c	623.4	485.4	357.3	118.9	579.4	1368156.0	1522.8	1486.9	598.2	328.4	273.3	102.6	224.1	1209460.5	1332.9	1121.0	1.20
27a	763.1	472.6	442.1	46.3	658.9	2737570.1	1641.8	1585.2	638.8	303.5	319.2	32.1	200.2	1974545.8	1328.2	1097.5	1.13
27b	699.0	412.4	403.1	39.2	563.1	2680234.9	1592.4	1496.9	697.9	318.1	306.7	33.4	204.4	1847998.6	1351.0	1068.0	1.06
27c	795.0	465.1	479.7	46.1	630.6	3499997.7	1785.8	1503.1	655.7	316.0	315.7	34.0	214.0	2644187.5	1319.8	1047.2	1.10
28a	962.3	519.3	442.0	46.4	600.1	3467504.7	1889.6	1752.7	795.8	365.9	394.2	31.9	247.6	2509640.7	1587.8	1277.5	1.12
28b	797.7	457.7	458.9	40.8	635.1	2510284.8	1803.7	1425.3	765.9	330.8	375.1	30.9	219.9	1592397.2	1439.3	1177.6	1.05
28c	829.3	493.4	460.3	42.5	603.9	3320889.8	1838.9	1573.2	796.9	342.9	402.4	31.5	253.5	2270618.8	1599.3	1250.0	1.09
29a	869.2	690.3	536.7	147.9	743.6	3902972.3	2224.9	1972.4	839.3	483.9	435.3	134.5	315.0	2983914.0	1951.3	1465.1	1.15
29b	905.3	770.9	515.0	40.8	720.8	3674657.9	2250.8	1676.8	817.2	538.0	423.1	31.2	296.2	2649860.8	1806.7	1369.0	1.05
29c	862.9	591.1	464.5	155.0	762.7	3977630.8	2078.9	1818.0	833.8	530.1	413.8	140.8	287.6	3102812.5	1921.8	1487.8	1.20
30a	818.0	548.3	464.8	43.1	619.3	3570746.1	1819.5	1806.5	782.0	333.8	368.2	30.9	253.1	2508174.0	1516.2	1262.5	1.17
30b	825.8	467.4	443.3	45.3	671.4	3804341.4	1717.1	1630.2	734.0	355.7	373.3	33.3	270.6	2583591.8	1566.6	1241.7	1.06
30c	645.6	438.8	410.5	37.3	544.9	3480226.7	1552.6	1406.2	751.6	334.5	341.8	30.9	224.2	2363592.4	1412.7	1286.1	1.02
31a	754.8	506.9	405.7	42.3	595.1	3490105.8	1684.3	1466.9	668.4	333.7	301.2	28.9	227.7	2298663.3	1354.8	1071.7	1.08
31b	830.8	490.0	494.2	45.6	786.6	4159524.4	1857.4	1425.7	730.1	370.5	347.6	32.8	302.6	2696342.4	1484.4	1289.6	4.59
31c	758.0	493.5	370.2	36.3	585.2	3504763.7	1741.2	1384.1	711.1	346.7	340.4	30.5	230.5	2554028.3	1423.5	1149.6	5.71
32a	253.7	230.4	172.3	33.7	335.1	145322.1	662.7	642.1	278.1	152.9	105.7	23.2	90.0	96329.4	571.6	462.1	3.22
32b	297.7	272.9	203.3	35.1	339.2	186548.2	806.1	778.3	285.8	152.9	107.5	23.8	91.7	110000.2	566.2	474.3	3.04
33a	735.4	480.9	353.9	37.5	516.1	308111.2	1637.4	1418.5	638.5	350.4	288.6	28.7	178.1	207708.6	1294.5	1032.3	3.04
33b	726.1	505.2	369.9	39.1	618.2	288563.2	1657.6	1605.3	663.5	354.1	282.7	28.6	198.9	197967.5	1328.8	1192.2	2.88
33c	710.5	506.6	383.1	41.2	547.1	333819.0	1623.3	1496.4	631.8	333.6	270.6	28.9	175.9	232815.8	1255.5	1073.5	2.73

cold frontend over the per query medians: median 1199.5us, max 2250.8us (29b), 113 of 113 over 300us, 4 over 2000us
cold frontend over the per query fastest rounds: median 1054.4us, max 1972.4us (29a), 113 of 113 over 300us, 0 over 2000us
warm frontend over the per query medians: median 912.0us, max 1951.3us (29a), 113 of 113 over 300us, 0 over 2000us
warm frontend over the per query fastest rounds: median 758.7us, max 1487.8us (29c), 113 of 113 over 300us, 0 over 2000us
cold frontend by phase, summed over the per query medians: parse 39%, bind 33%, rewrite 24%, optimizer 4%
warm frontend by phase, summed over the per query medians: parse 48%, bind 27%, rewrite 21%, optimizer 4%
load at the start of a process, highest per query: median 1.15, max 5.71, 0 queries went ahead past the gate
