query	cold_parse	cold_bind	cold_rewrite	cold_optimizer	cold_physical	cold_execute	cold_frontend	cold_fastest	warm_parse	warm_bind	warm_rewrite	warm_optimizer	warm_physical	warm_execute	warm_frontend	warm_fastest	load
q15	158.5	583.8	110.7	237.1	417.8	179410.1	1045.0	957.5	172.4	156.0	38.2	48.2	81.1	144123.1	430.0	367.7	1.55
q16	122.3	636.8	103.1	92.3	620.4	102.5	952.5	852.3	83.5	118.1	11.7	28.2	54.8	30.6	238.6	171.4	1.51
q17	121.5	565.6	103.2	49.1	424.8	345666.0	844.8	774.7	162.8	165.3	33.6	38.6	74.9	296831.0	404.4	347.7	1.51
q18	135.2	616.0	105.2	42.0	343.7	186197.2	895.6	834.9	138.8	149.4	30.8	29.5	59.7	181820.3	354.4	309.6	1.47
q19	200.3	687.7	107.7	44.2	417.5	763048.1	1027.1	855.0	196.8	194.1	37.4	35.7	81.7	676364.5	464.1	430.6	1.43
q20	68.3	349.3	102.0	39.4	284.3	2815.7	555.4	538.1	86.1	115.9	27.6	27.4	49.8	282.3	265.4	159.1	1.42
q21	96.5	385.4	115.5	45.1	472.6	261853.0	662.5	629.1	111.3	136.1	32.3	34.8	83.1	155164.9	322.5	273.4	1.42
q22	160.8	627.3	128.8	195.5	520.0	302478.0	1137.5	1050.4	186.8	173.6	44.4	48.0	96.3	150878.9	454.5	394.7	1.43
q23	251.2	707.9	146.8	252.4	543.1	519351.8	1366.8	1309.8	237.3	198.4	49.2	51.0	107.7	170119.8	552.7	477.1	1.43
q24	76.3	535.2	187.2	125.6	341.6	303084.1	939.6	808.7	117.2	229.9	109.9	102.7	146.6	143307.8	579.5	506.4	1.36
q25	83.5	391.0	111.1	45.6	301.7	8896.4	629.0	592.4	111.8	137.7	33.3	34.5	64.4	3802.7	324.8	254.2	1.42
q26	80.2	410.8	111.3	46.1	280.9	64335.6	655.9	551.3	117.6	141.0	31.6	33.7	61.8	43508.4	321.2	291.7	1.42
q27	109.8	404.1	107.2	46.3	311.7	19009.8	658.4	652.3	132.5	142.9	33.7	35.3	67.6	4337.0	351.3	292.4	1.42
q28	174.8	608.7	128.3	224.3	442.5	134117.1	1133.8	1077.5	205.2	178.9	44.4	119.5	96.0	81697.2	564.4	464.9	1.42
q29	237.6	715.6	144.5	36.0	582.7	2469286.2	1134.0	927.8	277.6	249.7	77.5	39.8	167.7	1697258.9	623.6	506.2	1.42
q30	1840.7	1122.3	1831.5	160.6	714.5	26916.1	4978.5	4199.4	1667.8	788.7	1610.3	145.4	273.0	24280.4	4187.2	3754.2	1.32
q31	199.3	686.1	151.3	220.0	473.0	238943.8	1262.5	1112.7	220.4	188.9	44.0	45.6	91.5	194419.7	509.3	411.1	1.32
q32	182.8	680.8	134.7	188.0	447.9	262356.4	1186.2	1045.4	209.0	172.1	45.5	46.8	92.6	196546.2	491.8	440.2	1.29
q33	195.3	920.7	177.5	45.1	420.5	885013.0	1384.3	985.6	211.1	217.2	49.9	46.9	84.5	764604.0	569.6	370.1	1.27
q34	110.6	640.6	97.8	65.6	703.9	121.3	909.6	802.5	75.3	108.9	11.9	24.3	94.9	37.1	229.9	166.5	1.21
q35	151.1	688.7	100.0	38.6	333.8	139305.9	959.3	800.6	144.2	145.9	31.8	29.8	66.8	90419.7	347.9	307.4	1.21
q36	224.8	717.8	134.1	78.2	641.9	185.5	1175.8	1012.8	169.3	131.8	27.1	43.0	97.0	50.9	374.8	270.0	1.19
q37	202.6	658.8	143.6	338.4	474.8	32789.8	1355.7	1324.2	228.5	185.2	57.6	135.7	93.8	18329.6	617.1	586.5	1.19
q38	207.1	660.0	138.1	475.5	470.7	27544.1	1508.0	1256.5	216.4	177.0	56.5	68.5	96.5	16731.9	532.4	446.4	1.19
q39	203.9	685.3	142.7	134.3	472.7	21315.0	1176.6	1041.4	238.3	183.2	59.0	89.0	100.3	7369.4	583.2	463.9	1.19
q40	340.8	679.8	168.7	103.2	500.0	238191.7	1285.3	1232.7	317.6	200.5	68.6	56.8	107.8	195061.0	639.8	554.1	1.19
q41	250.6	667.5	158.1	213.7	488.6	23305.1	1319.9	1151.4	232.7	171.6	61.9	75.8	83.5	15998.4	556.5	479.4	1.18
q42	217.1	624.3	139.3	188.1	464.9	24624.1	1181.4	1051.8	233.4	176.4	61.2	68.4	99.8	15584.7	533.6	471.8	1.18
q43	249.0	626.9	118.0	102.5	490.9	22602.6	1101.1	965.1	238.9	188.9	52.8	57.8	93.8	19385.6	530.4	443.2	1.18
