# The kernel record, read by `rudb-bench kernels --check`.
#
# One block per machine. Written by `rudb-bench kernels --record`, which runs `cargo xtask kernels
# --json` in a rudb checkout and stores what it said. The numbers are nanoseconds per row and every
# machine has its own, so a block is only ever compared against a later block from the same machine.
#
# A cell line is the table, the case, the detail, the form pair or stage, the null percentage, the
# rows the time was divided by, nanoseconds per row, the interquartile range as a percentage of the
# median, and whether a specialized loop ran or the row at a time path did. Separated by pipes
# because a case name has spaces in it and a column layout that breaks on the first one is a file
# format that works until somebody adds a case.
#
# This is also the committed form of the compaction surface, which sub-milestone 2b asks for by
# name: the rows whose table is `compaction` are it.
#
# Rule ten applies here as everywhere. Nothing in this file times a query, so nothing in it is a
# result on its own.

[kernels]
machine   gamingpc-wsl
rudb      0.2.2 6e78afa
recorded  2026-09-11
cell      comparison | Bool | BOOLEAN | flat/flat | 0 | 1024 | 0.0544 | 0.8 | kernel
cell      comparison | Int64 | BIGINT | flat/flat | 1 | 1024 | 0.9092 | 0.5 | kernel
cell      arithmetic | Int64 | BIGINT | flat/flat | 1 | 1024 | 0.8774 | 0.1 | kernel
cell      comparison | Int64 | BIGINT | flat/const | 1 | 1024 | 0.8960 | 0.7 | kernel
cell      arithmetic | Int64 | BIGINT | flat/const | 1 | 1024 | 0.8084 | 2.2 | kernel
cell      comparison | Int64 | BIGINT | const/flat | 1 | 1024 | 0.8956 | 0.3 | kernel
cell      arithmetic | Int64 | BIGINT | const/flat | 1 | 1024 | 0.8040 | 0.4 | kernel
cell      comparison | Int64 | BIGINT | dict/const | 1 | 1024 | 0.4168 | 0.1 | kernel
cell      arithmetic | Int64 | BIGINT | dict/const | 1 | 1024 | 0.4374 | 1.6 | kernel
cell      comparison | Int64 | BIGINT | dict/flat | 1 | 1024 | 0.9362 | 0.9 | kernel
cell      arithmetic | Int64 | BIGINT | dict/flat | 1 | 1024 | 0.9622 | 1.2 | kernel
cell      comparison | Int64 | BIGINT | flat/flat | 50 | 1024 | 0.8838 | 0.3 | kernel
cell      arithmetic | Int64 | BIGINT | flat/flat | 50 | 1024 | 0.8500 | 0.3 | kernel
cell      comparison | Int64 | BIGINT | flat/const | 50 | 1024 | 0.8714 | 1.6 | kernel
cell      arithmetic | Int64 | BIGINT | flat/const | 50 | 1024 | 0.7797 | 1.7 | kernel
cell      comparison | Int64 | BIGINT | const/flat | 50 | 1024 | 0.8714 | 0.1 | kernel
cell      arithmetic | Int64 | BIGINT | const/flat | 50 | 1024 | 0.7718 | 0.7 | kernel
cell      comparison | Int64 | BIGINT | dict/const | 50 | 1024 | 0.4170 | 0.4 | kernel
cell      arithmetic | Int64 | BIGINT | dict/const | 50 | 1024 | 0.4497 | 0.1 | kernel
cell      comparison | Int64 | BIGINT | dict/flat | 50 | 1024 | 0.9041 | 0.3 | kernel
cell      arithmetic | Int64 | BIGINT | dict/flat | 50 | 1024 | 0.9297 | 2.0 | kernel
cell      comparison | Int128 | HUGEINT | flat/flat | 0 | 1024 | 0.4854 | 0.4 | kernel
cell      arithmetic | Int128 | HUGEINT | flat/flat | 0 | 1024 | 0.5630 | 3.6 | kernel
cell      comparison | Int128 | HUGEINT | flat/const | 0 | 1024 | 0.4155 | 0.2 | kernel
cell      arithmetic | Int128 | HUGEINT | flat/const | 0 | 1024 | 0.4653 | 0.2 | kernel
cell      comparison | Int128 | HUGEINT | const/flat | 0 | 1024 | 0.4136 | 0.5 | kernel
cell      arithmetic | Int128 | HUGEINT | const/flat | 0 | 1024 | 0.5351 | 0.8 | kernel
cell      comparison | Int128 | HUGEINT | dict/const | 0 | 1024 | 0.5891 | 2.6 | kernel
cell      arithmetic | Int128 | HUGEINT | dict/const | 0 | 1024 | 0.6484 | 2.7 | kernel
cell      comparison | Int128 | HUGEINT | dict/flat | 0 | 1024 | 0.6640 | 2.6 | kernel
cell      arithmetic | Int128 | HUGEINT | dict/flat | 0 | 1024 | 0.7103 | 2.7 | kernel
cell      comparison | Int128 | HUGEINT | flat/flat | 1 | 1024 | 0.9333 | 0.1 | kernel
cell      arithmetic | Int128 | HUGEINT | flat/flat | 1 | 1024 | 1.0576 | 1.2 | kernel
cell      comparison | Int128 | HUGEINT | flat/const | 1 | 1024 | 0.8591 | 0.1 | kernel
cell      arithmetic | Int128 | HUGEINT | flat/const | 1 | 1024 | 0.9238 | 0.4 | kernel
cell      comparison | Int128 | HUGEINT | const/flat | 1 | 1024 | 0.8578 | 0.5 | kernel
cell      arithmetic | Int128 | HUGEINT | const/flat | 1 | 1024 | 0.9898 | 0.2 | kernel
cell      comparison | Int128 | HUGEINT | dict/const | 1 | 1024 | 0.5842 | 2.5 | kernel
cell      arithmetic | Int128 | HUGEINT | dict/const | 1 | 1024 | 0.6479 | 1.7 | kernel
cell      comparison | Int128 | HUGEINT | dict/flat | 1 | 1024 | 1.1833 | 2.4 | kernel
cell      arithmetic | Int128 | HUGEINT | dict/flat | 1 | 1024 | 1.1674 | 1.8 | kernel
cell      comparison | Int128 | HUGEINT | flat/flat | 50 | 1024 | 0.9085 | 0.1 | kernel
cell      arithmetic | Int128 | HUGEINT | flat/flat | 50 | 1024 | 1.0266 | 1.3 | kernel
cell      comparison | Int128 | HUGEINT | flat/const | 50 | 1024 | 0.8339 | 0.2 | kernel
cell      arithmetic | Int128 | HUGEINT | flat/const | 50 | 1024 | 0.8827 | 1.7 | kernel
cell      comparison | Int128 | HUGEINT | const/flat | 50 | 1024 | 0.8330 | 0.1 | kernel
cell      arithmetic | Int128 | HUGEINT | const/flat | 50 | 1024 | 0.9415 | 0.2 | kernel
cell      comparison | Int128 | HUGEINT | dict/const | 50 | 1024 | 0.5977 | 2.9 | kernel
cell      arithmetic | Int128 | HUGEINT | dict/const | 50 | 1024 | 0.6328 | 0.4 | kernel
cell      comparison | Int128 | HUGEINT | dict/flat | 50 | 1024 | 1.3575 | 1.8 | kernel
cell      arithmetic | Int128 | HUGEINT | dict/flat | 50 | 1024 | 1.1052 | 0.1 | kernel
cell      comparison | UInt8 | UTINYINT | flat/flat | 0 | 1024 | 0.0546 | 0.8 | kernel
cell      arithmetic | UInt8 | UTINYINT | flat/flat | 0 | 1024 | 0.0655 | 1.9 | kernel
cell      comparison | UInt8 | UTINYINT | flat/const | 0 | 1024 | 0.0683 | 1.6 | kernel
cell      arithmetic | UInt8 | UTINYINT | flat/const | 0 | 1024 | 0.0828 | 2.9 | kernel
cell      comparison | UInt8 | UTINYINT | const/flat | 0 | 1024 | 0.0708 | 1.1 | kernel
cell      arithmetic | UInt8 | UTINYINT | const/flat | 0 | 1024 | 0.0797 | 1.1 | kernel
cell      comparison | UInt8 | UTINYINT | dict/const | 0 | 1024 | 0.4073 | 0.8 | kernel
cell      arithmetic | UInt8 | UTINYINT | dict/const | 0 | 1024 | 0.4148 | 0.6 | kernel
cell      comparison | UInt8 | UTINYINT | dict/flat | 0 | 1024 | 0.4729 | 0.2 | kernel
cell      arithmetic | UInt8 | UTINYINT | dict/flat | 0 | 1024 | 0.4785 | 1.3 | kernel
cell      comparison | UInt8 | UTINYINT | flat/flat | 1 | 1024 | 0.4978 | 0.5 | kernel
cell      arithmetic | UInt8 | UTINYINT | flat/flat | 1 | 1024 | 0.5342 | 0.4 | kernel
cell      comparison | UInt8 | UTINYINT | flat/const | 1 | 1024 | 0.5112 | 1.2 | kernel
cell      arithmetic | UInt8 | UTINYINT | flat/const | 1 | 1024 | 0.5362 | 0.2 | kernel
cell      comparison | UInt8 | UTINYINT | const/flat | 1 | 1024 | 0.5087 | 0.2 | kernel
cell      arithmetic | UInt8 | UTINYINT | const/flat | 1 | 1024 | 0.5405 | 5.3 | kernel
cell      comparison | UInt8 | UTINYINT | dict/const | 1 | 1024 | 0.4069 | 0.1 | kernel
cell      arithmetic | UInt8 | UTINYINT | dict/const | 1 | 1024 | 0.4126 | 0.3 | kernel
cell      comparison | UInt8 | UTINYINT | dict/flat | 1 | 1024 | 0.9182 | 0.4 | kernel
cell      arithmetic | UInt8 | UTINYINT | dict/flat | 1 | 1024 | 0.9378 | 0.4 | kernel
cell      comparison | UInt8 | UTINYINT | flat/flat | 50 | 1024 | 0.4731 | 0.1 | kernel
cell      arithmetic | UInt8 | UTINYINT | flat/flat | 50 | 1024 | 0.5014 | 1.5 | kernel
cell      comparison | UInt8 | UTINYINT | flat/const | 50 | 1024 | 0.4857 | 0.2 | kernel
cell      arithmetic | UInt8 | UTINYINT | flat/const | 50 | 1024 | 0.4913 | 0.4 | kernel
cell      comparison | UInt8 | UTINYINT | const/flat | 50 | 1024 | 0.4843 | 0.2 | kernel
cell      arithmetic | UInt8 | UTINYINT | const/flat | 50 | 1024 | 0.4927 | 0.2 | kernel
cell      comparison | UInt8 | UTINYINT | dict/const | 50 | 1024 | 0.4065 | 0.1 | kernel
cell      arithmetic | UInt8 | UTINYINT | dict/const | 50 | 1024 | 0.4135 | 0.1 | kernel
cell      comparison | UInt8 | UTINYINT | dict/flat | 50 | 1024 | 0.8915 | 1.4 | kernel
cell      arithmetic | UInt8 | UTINYINT | dict/flat | 50 | 1024 | 0.8919 | 0.4 | kernel
cell      comparison | UInt16 | USMALLINT | flat/flat | 0 | 1024 | 0.0647 | 1.1 | kernel
cell      arithmetic | UInt16 | USMALLINT | flat/flat | 0 | 1024 | 0.0943 | 0.4 | kernel
cell      comparison | UInt16 | USMALLINT | flat/const | 0 | 1024 | 0.0786 | 0.7 | kernel
cell      arithmetic | UInt16 | USMALLINT | flat/const | 0 | 1024 | 0.1144 | 0.5 | kernel
cell      comparison | UInt16 | USMALLINT | const/flat | 0 | 1024 | 0.0800 | 2.5 | kernel
cell      arithmetic | UInt16 | USMALLINT | const/flat | 0 | 1024 | 0.1204 | 0.5 | kernel
cell      comparison | UInt16 | USMALLINT | dict/const | 0 | 1024 | 0.4084 | 0.1 | kernel
cell      arithmetic | UInt16 | USMALLINT | dict/const | 0 | 1024 | 0.4337 | 0.1 | kernel
cell      comparison | UInt16 | USMALLINT | dict/flat | 0 | 1024 | 0.4806 | 1.5 | kernel
cell      arithmetic | UInt16 | USMALLINT | dict/flat | 0 | 1024 | 0.5048 | 1.3 | kernel
cell      comparison | UInt16 | USMALLINT | flat/flat | 1 | 1024 | 0.5108 | 0.1 | kernel
cell      arithmetic | UInt16 | USMALLINT | flat/flat | 1 | 1024 | 0.5579 | 1.2 | kernel
cell      comparison | UInt16 | USMALLINT | flat/const | 1 | 1024 | 0.5141 | 0.4 | kernel
cell      arithmetic | UInt16 | USMALLINT | flat/const | 1 | 1024 | 0.5557 | 0.1 | kernel
cell      comparison | UInt16 | USMALLINT | const/flat | 1 | 1024 | 0.5136 | 0.2 | kernel
cell      arithmetic | UInt16 | USMALLINT | const/flat | 1 | 1024 | 0.5656 | 0.1 | kernel
cell      comparison | UInt16 | USMALLINT | dict/const | 1 | 1024 | 0.4100 | 3.8 | kernel
cell      arithmetic | UInt16 | USMALLINT | dict/const | 1 | 1024 | 0.4344 | 0.2 | kernel
cell      comparison | UInt16 | USMALLINT | dict/flat | 1 | 1024 | 0.9143 | 0.7 | kernel
cell      arithmetic | UInt16 | USMALLINT | dict/flat | 1 | 1024 | 0.9498 | 0.5 | kernel
cell      comparison | UInt16 | USMALLINT | flat/flat | 50 | 1024 | 0.4851 | 0.1 | kernel
cell      arithmetic | UInt16 | USMALLINT | flat/flat | 50 | 1024 | 0.5226 | 0.4 | kernel
cell      comparison | UInt16 | USMALLINT | flat/const | 50 | 1024 | 0.4886 | 0.1 | kernel
cell      arithmetic | UInt16 | USMALLINT | flat/const | 50 | 1024 | 0.5301 | 1.0 | kernel
cell      comparison | UInt16 | USMALLINT | const/flat | 50 | 1024 | 0.4886 | 0.1 | kernel
cell      arithmetic | UInt16 | USMALLINT | const/flat | 50 | 1024 | 0.5408 | 2.2 | kernel
cell      comparison | UInt16 | USMALLINT | dict/const | 50 | 1024 | 0.4085 | 0.2 | kernel
cell      arithmetic | UInt16 | USMALLINT | dict/const | 50 | 1024 | 0.4420 | 1.7 | kernel
cell      comparison | UInt16 | USMALLINT | dict/flat | 50 | 1024 | 0.9000 | 1.1 | kernel
cell      arithmetic | UInt16 | USMALLINT | dict/flat | 50 | 1024 | 0.9215 | 1.1 | kernel
cell      comparison | UInt32 | UINTEGER | flat/flat | 0 | 1024 | 0.1206 | 1.7 | kernel
cell      arithmetic | UInt32 | UINTEGER | flat/flat | 0 | 1024 | 0.1294 | 1.6 | kernel
cell      comparison | UInt32 | UINTEGER | flat/const | 0 | 1024 | 0.1385 | 0.4 | kernel
cell      arithmetic | UInt32 | UINTEGER | flat/const | 0 | 1024 | 0.1484 | 2.9 | kernel
cell      comparison | UInt32 | UINTEGER | const/flat | 0 | 1024 | 0.1334 | 0.1 | kernel
cell      arithmetic | UInt32 | UINTEGER | const/flat | 0 | 1024 | 0.1407 | 0.6 | kernel
cell      comparison | UInt32 | UINTEGER | dict/const | 0 | 1024 | 0.4091 | 0.1 | kernel
cell      arithmetic | UInt32 | UINTEGER | dict/const | 0 | 1024 | 0.4354 | 0.1 | kernel
cell      comparison | UInt32 | UINTEGER | dict/flat | 0 | 1024 | 0.4727 | 0.1 | kernel
cell      arithmetic | UInt32 | UINTEGER | dict/flat | 0 | 1024 | 0.5005 | 1.7 | kernel
cell      comparison | UInt32 | UINTEGER | flat/flat | 1 | 1024 | 0.5618 | 0.2 | kernel
cell      arithmetic | UInt32 | UINTEGER | flat/flat | 1 | 1024 | 0.5943 | 0.6 | kernel
cell      comparison | UInt32 | UINTEGER | flat/const | 1 | 1024 | 0.5683 | 0.4 | kernel
cell      arithmetic | UInt32 | UINTEGER | flat/const | 1 | 1024 | 0.6057 | 0.4 | kernel
cell      comparison | UInt32 | UINTEGER | const/flat | 1 | 1024 | 0.5698 | 1.5 | kernel
cell      arithmetic | UInt32 | UINTEGER | const/flat | 1 | 1024 | 0.6003 | 0.4 | kernel
cell      comparison | UInt32 | UINTEGER | dict/const | 1 | 1024 | 0.4091 | 0.1 | kernel
cell      arithmetic | UInt32 | UINTEGER | dict/const | 1 | 1024 | 0.4347 | 0.1 | kernel
cell      comparison | UInt32 | UINTEGER | dict/flat | 1 | 1024 | 0.9280 | 1.7 | kernel
cell      arithmetic | UInt32 | UINTEGER | dict/flat | 1 | 1024 | 0.9537 | 1.7 | kernel
cell      comparison | UInt32 | UINTEGER | flat/flat | 50 | 1024 | 0.5375 | 0.1 | kernel
cell      arithmetic | UInt32 | UINTEGER | flat/flat | 50 | 1024 | 0.5527 | 0.3 | kernel
cell      comparison | UInt32 | UINTEGER | flat/const | 50 | 1024 | 0.5428 | 0.3 | kernel
cell      arithmetic | UInt32 | UINTEGER | flat/const | 50 | 1024 | 0.5574 | 0.1 | kernel
cell      comparison | UInt32 | UINTEGER | const/flat | 50 | 1024 | 0.5438 | 0.2 | kernel
cell      arithmetic | UInt32 | UINTEGER | const/flat | 50 | 1024 | 0.5502 | 0.8 | kernel
cell      comparison | UInt32 | UINTEGER | dict/const | 50 | 1024 | 0.4097 | 0.2 | kernel
cell      arithmetic | UInt32 | UINTEGER | dict/const | 50 | 1024 | 0.4356 | 0.2 | kernel
cell      comparison | UInt32 | UINTEGER | dict/flat | 50 | 1024 | 0.8949 | 0.7 | kernel
cell      arithmetic | UInt32 | UINTEGER | dict/flat | 50 | 1024 | 0.9108 | 0.5 | kernel
