query	cold_ms	hot_median_ms	hot_iqr_ms	samples_ms	answer
15b	3768.0	1958.0	574.5	3768,2122,2573,1887,1958,1659	USA:27 April 2007|RoboCop vs Terminator
15c	3937.0	1390.0	424.5	3937,1957,1207,1398,1390,1299	USA:1 April 2003|24: Day Six - Debrief
15d	1945.0	1113.0	330.0	1945,1113,1036,979,1515,1160	(Not So) Instant Photo|06/05
16a	4691.0	3691.0	801.5	4691,3310,3276,3909,3691,4280	Adams, Stan|Carol Burnett vs. Anthony Perkins
16b	10563.0	5967.0	1220.5	10563,7537,5886,5654,5967,6444	!!!, Toy|& Teller
16c	9814.0	5539.0	1123.5	9814,5539,5042,4826,6286,5829	"Brooklyn" Tony Danza|(#1.5)
16d	7162.0	5295.0	1193.0	7162,5374,6134,5295,5283,3839	"Brooklyn" Tony Danza|(#1.5)
17a	8978.0	12818.0	3455.0	8978,12818,15987,11074,10900,12897	B, Khaz|B, Khaz
17b	13554.0	9187.0	2212.5	13554,10443,10840,9187,8027,8831	Z'Dar, Robert|Z'Dar, Robert
17c	10655.0	8100.0	2503.5	10655,8917,11078,8100,8081,6907	X'Volaitis, John|X'Volaitis, John
17d	9105.0	7148.0	1341.0	9105,6529,6460,7148,7694,7977	Abrahamsson, Bertil
17e	10372.0	11427.0	1923.0	10372,11710,10621,10058,11427,12815	$hort, Too
17f	19592.0	16243.0	2937.5	19592,15791,16243,16926,14619,19359	'El Galgo PornoStar', Blanquito
18a	10038.0	4989.0	654.0	10038,4989,4955,4998,4596,5861	$1,000|10|40 Days and 40 Nights
18b	4383.0	1660.0	470.5	4383,1840,1660,1298,1564,1963	Horror|8.1|Agorable
18c	3255.0	2033.0	763.0	3255,1082,1904,2033,2038,2474	Action|10|#PostModem
19a	12064.0	4315.0	3622.0	12064,7777,6523,3671,3385,4315	Angeline, Moriah|Blue Harvest
19b	6968.0	3384.0	693.0	6968,2879,3275,3384,3754,3786	Jolie, Angelina|Kung Fu Panda
19c	14596.0	6908.0	870.0	14596,7059,6908,6821,6404,7906	Alborg, Ana Esther|.hack//Akusei heni vol. 2
19d	9023.0	5182.0	591.5	9023,5001,5613,4946,5182,5517	Aaron, Caroline|$9.99
20a	9818.0	6511.0	1439.0	9818,6877,6511,8002,5823,6178	Disaster Movie
20b	7377.0	11208.0	3353.5	7377,8503,13594,11208,9763,11379	Iron Man
20c	13827.0	11364.0	4346.5	13827,8302,11504,16011,10520,11364	Abell, Alistair|...And Then I...
21a	4738.0	1993.0	305.0	4738,2039,2071,1863,1637,1993	Det Danske Filminstitut|followed by|Der Serienkiller - Klinge des Todes
21b	4480.0	2448.0	533.5	4480,2065,2818,2541,2227,2448	Filmlance International AB|followed by|Hämndens pris
21c	5382.0	2244.0	255.5	5382,2362,2214,2034,2244,2397	Churchill Films|followed by|Batman Beyond
22a	4394.0	2497.0	338.0	4394,2191,2669,2497,2592,2394	01 Distribution|2.1|12 Rounds
22b	4033.0	2281.0	281.5	4033,2281,2635,2282,2224,2130	Boll Kino Beteiligungs GmbH & Co. KG|3.0|A Small Act
22c	3792.0	1791.0	126.5	3792,1893,1770,1917,1787,1791	01 Distribution|1.9|(#1.1)
22d	4449.0	2805.0	640.5	4449,2805,3143,3126,2340,2648	01 Distribution|1.6|(#1.1)
23a	5006.0	3116.0	1158.5	5006,3116,2807,4836,2901,3189	movie|The Analysts
23b	2896.0	1121.0	654.0	2896,1668,1413,1121,900,873	movie|The Big Mope
23c	3200.0	1706.0	334.5	3200,2116,1761,1706,1655,1553	movie|Dirt Merchant
24a	10689.0	4278.0	2033.5	10689,4278,4137,3732,6144,5792	Additional Voices|Baker, Andrea|Baiohazâdo 6
24b	11539.0	5683.0	1251.0	11539,5504,5683,7698,5906,5598	Tigress|Jolie, Angelina|Kung Fu Panda 2
25a	5189.0	1862.0	219.5	5189,2127,1821,1925,1792,1862	Horror|10|Abdallah, Damon|-- And Now the Screaming Starts!
25b	2874.0	1180.0	270.5	2874,1266,1067,1443,1101,1180	Horror|138|Campbell, Jeremiah|Vampire Boys
25c	4076.0	1820.0	372.0	4076,1602,1926,1514,1934,1820	Action|10|Aakeson, Kim Fupz|$
26a	10462.0	6641.0	3140.5	10462,6641,10378,6901,6309,4689	'Agua' Man|7.1|Acereda, Hermie|3:10 to Yuma
26b	5593.0	4784.0	1283.5	5593,4432,5146,5824,4784,3971	Bank Manager|8.2|Inception
26c	5209.0	4287.0	1059.5	5209,5089,3996,4287,4973,3947	'Agua' Man|1.9|12 Rounds
27a	2728.0	1206.0	406.5	2728,1204,1206,1440,1707,1130	Det Danske Filminstitut|followed by|Spår i mörker
27b	3007.0	1005.0	138.5	3007,974,1169,980,1062,1005	Filmlance International AB|followed by|Vita nätter
27c	1958.0	836.0	167.0	1958,789,836,779,893,1009	Det Danske Filminstitut|followed by|Spår i mörker
28a	2331.0	863.0	39.0	2331,885,863,845,843,881	01 Distribuzione|2.9|(#1.1)
28b	2067.0	885.0	211.5	2067,1149,811,948,863,885	20th Century Fox|6.6|(#1.1)
28c	1744.0	901.0	188.5	1744,901,881,813,1140,931	01 Distribuzione|1.9|(#1.1)
29a	6096.0	2858.0	376.5	6096,2810,3227,2717,2858,3053	Queen|Andrews, Julie|Shrek 2
29b	6981.0	3178.0	1118.5	6981,3178,2891,2922,3319,4731	Queen|Andrews, Julie|Shrek 2
29c	6839.0	3460.0	268.0	6839,3361,3460,3530,3713,3346	Lola|Andrews, Julie|Hoodwinked!
30a	2360.0	1128.0	138.0	2360,1242,1266,1128,1117,1115	Horror|100356|Abrams, J.J.|16 Blocks
30b	2752.0	1222.0	485.5	2752,1538,1319,1092,1222,794	Horror|194782|Shannon, Damian|Freddy vs. Jason
30c	2649.0	838.0	59.0	2649,873,813,876,818,838	Action|100356|Abernathy, Lewis|$
31a	2067.0	820.0	83.0	2067,820,795,867,859,765	Horror|1040|Agnew, Jim|2001 Maniacs
31b	1878.0	799.0	212.0	1878,762,989,947,750,799	Horror|129755|Bousman, Darren Lynn|Saw
31c	2035.0	877.0	92.5	2035,905,877,959,852,827	Action|1008|Abraham, Brad|11:14
32a	323.0	159.0	30.0	323,171,147,133,159,169	NULL|NULL|NULL
32b	541.0	418.0	29.5	541,408,430,449,412,418	alternate language version of|12 oz. Mouse|'Angel': Season 2 Overview
33a	660.0	445.0	68.5	660,445,433,467,413,516	495 Productions|495 Productions|3.3|2.7|A Double Shot at Love|A Shot at Love with Tila Tequila
33b	619.0	418.0	44.0	619,432,393,426,418,377	MTV Netherlands|495 Productions|3.3|2.7|A Double Shot at Love|A Shot at Love with Tila Tequila
33c	1059.0	717.0	232.0	1059,702,1081,788,703,717	2BE|495 Productions|1.3|1.0|A Double Shot at Love|A Double Shot at Love
